ケーススタディ_URL,事業内容,会社HP
https://www.aidma-hd.jp/case/zirei-191/,食材卸 食材発注サイト運営 飲食店向けコンサルティング,http://foodgarage.co.jp/
https://www.aidma-hd.jp/case/zirei-189/,生花販売,https://www.worldflower.net/
https://www.aidma-hd.jp/case/zirei-179/,段ボール製造,http://www.hishidashiki.co.jp/
https://www.aidma-hd.jp/case/zirei-178/,製造コンサルティング業,https://cellneotech.com/
https://www.aidma-hd.jp/case/zirei-177/,FA機器製造、自動化機器販売,https://shinwa-mfg.com/
https://www.aidma-hd.jp/case/zirei-176/,食品加工機械や建築部材、農業機械などの加工,https://www.suenami.co.jp/index.html
https://www.aidma-hd.jp/case/zirei-165/,ナースコールシステムの販売　情報システムの設計、販売、施工、メンテナンス,http://chusetsu.com/
https://www.aidma-hd.jp/case/zirei-164/,自動制御設備の設計・製作、各種電装工事　産業用ロボットの動作プログラミング・ティーチング FAシステム事業,https://hokutogr.co.jp/
https://www.aidma-hd.jp/case/zirei-163/,養鶏業　親鶏の肉を活用したペットフードの製造販売,http://www.chatamaya.com/
https://www.aidma-hd.jp/case/zirei-162/,レーザー加工、プラスチック成形用金型及び関連品の設計・製作,http://nagaura-ss.co.jp/company.html
https://www.aidma-hd.jp/case/zirei-161/,産業ロボット・省力機・自動化システム設計製作,http://www.ashigi.co.jp/company/index.html
https://www.aidma-hd.jp/case/zirei-149/,ロープアクセス工法、LED看板事業,https://asahido-kanbanten.jp/
https://www.aidma-hd.jp/case/zirei-146/,オフィスにコンビニの設置を提案,https://mspocket.ministop-fc.com/
https://www.aidma-hd.jp/case/zirei-145/,太陽光発電システム施工・販売 太陽光発電保守メンテナンス オール電化（電気温水器・エコキュート・IHクッキングヒーター） 空調工事（家庭用・業務用） 電気工事（LED照明取付け・電気自動車用充電設備設置工事・その他電気工事）,https://www.suzuki-densetsu.jp/
https://www.aidma-hd.jp/case/zirei-144/,便利屋業全般 お引越し・お引越しのお手伝い 不用品処分のお手伝い 遺品整理 水漏れによる蛇口修理・交換 草刈り ハウスクリーニング ペンキ塗り作業 愛ネコ探し,https://www.actservice21.com/
https://www.aidma-hd.jp/case/zirei-143/,飲料業,https://n-t-b.jp/
https://www.aidma-hd.jp/case/zirei-142/,補助金&助成金に関するプラットフォームの提供,
https://www.aidma-hd.jp/case/zirei-132/,SES事業,https://www.zefact.co.jp/
https://www.aidma-hd.jp/case/zirei-131/,造園業,http://www.baishoen.co.jp/index.html
https://www.aidma-hd.jp/case/zirei-130/,クラウドWi-Fiの提案、著作権等の権利代行処理,https://takeoval.co.jp/company
https://www.aidma-hd.jp/case/zirei-129/,金型成型　金型修理,https://kyoei-1964.co.jp/
https://www.aidma-hd.jp/case/zirei-128/,建築設計,http://www.aoi-a.jp/
https://www.aidma-hd.jp/case/zirei-127/,タクシー事業・観光事業,https://santotaxi.com/
https://www.aidma-hd.jp/case/zirei-126/,イベントブース設計・施工,https://www.tohgashi.co.jp/
https://www.aidma-hd.jp/case/zirei-125/,橋梁・道路等点検業務、土木積算業務代行、ドローンによる空撮業務、建築設計・建物診断など建設業界のアウトソーシング,https://www.kksupport.co.jp/index.html
https://www.aidma-hd.jp/case/zirei-124/,自動車業界に向けた車種情報のマスタを構築し、 　さまざまなシステムやサービスに利用できる基幹システム向けのデータ・情報の提供,https://www.hoyusys.co.jp/
https://www.aidma-hd.jp/case/zirei-122/,パンチングメタル等の製造・販売,https://www.kyoei-u.com/
https://www.aidma-hd.jp/case/zirei-121/,弁当・寿司・惣菜製造卸,https://www.able-cocoru.jp/
https://www.aidma-hd.jp/case/zirei-120/,電線保護チューブの販売、マークチューブの販売,https://nishinihon-sd.co.jp/company/index.html
https://www.aidma-hd.jp/case/zirei-119/,不動産の売買・仲介、建築工事、リフォーム業、土地活用のコンサルティング,https://www.amg-homes.jp/index.html
https://www.aidma-hd.jp/case/zirei-118/,外国人人材派遣,https://uncle-injp.com/
https://www.aidma-hd.jp/case/zirei-117/,ミャンマー政府よりミャンマーNo.1 人材送り出し機関として表彰された、 ミャンマー政府認定の正規人材送り出し機関,https://www.myanmarunity.jp/
https://www.aidma-hd.jp/case/zirei-104/,ホテルマネジメント事業 ファシリティコントロール事業 エコシステム事業 ヒューマンリソース事業,https://www.life-spt.com/index.html
https://www.aidma-hd.jp/case/zirei-103/,電気通信工事、防犯カメラ販売,
https://www.aidma-hd.jp/case/zirei-102/,インターネットを利用した各種情報サービスと広告代理,https://www.tamemap.net/#hero-area
https://www.aidma-hd.jp/case/zirei-98/,介護事業、環境衛生事業など,http://amuse24.net/
https://www.aidma-hd.jp/case/zirei-97/,鉄やステンレスの「曲げ加工」「レーザー加工」「ロボット溶接加工」などの請負,http://www.akahara.co.jp/
https://www.aidma-hd.jp/case/zirei-96/,食肉販売に関する事業、食肉製品製造及び販売,https://maruichi-foods.co.jp/
https://www.aidma-hd.jp/case/zirei-90/,ガラスフィルム販売、マットレス洗浄,https://www.kita-ichi.com/
https://www.aidma-hd.jp/case/zirei-89/,意匠設計,https://www.oumi-kikaku.com/
https://www.aidma-hd.jp/case/zirei-88/,医療用コンテナなど販売,https://www.vigalux.jp/
https://www.aidma-hd.jp/case/zirei-81/,保険サービス全般の販売代理店,http://www.tokyo-ins.com/
https://www.aidma-hd.jp/case/zirei-80/,マーケティングと広告のコンサルティング・マーケティングリサーチ・マーケティング教育・ビジネスモデルの革新と創造支援,https://bimocre.com/company/
https://www.aidma-hd.jp/case/zirei-79/,損害保険、生命保険代理店,https://minds-planning.com/
https://www.aidma-hd.jp/case/zirei-76/,塗膜塗装剤ポリウレアの販売,http://smapaint.com/company-infomation/
https://www.aidma-hd.jp/case/zirei-75/,ネット（網）販売、工事,http://www.tohokunet.co.jp/index.html
https://www.aidma-hd.jp/case/zirei-74/,生プラセンタを中心とした化粧品のOEM事業、サプリOEM事業、広告事業,https://e-dma.co.jp/
https://www.aidma-hd.jp/case/zirei-70/,労働者派遣事業、有料職業紹介事業、オウンドメディア事業 施工仲介事業、緑化レンタル・販売事業、その他業務請負,https://ngp-grp.co.jp/recruit-c/index6.html
https://www.aidma-hd.jp/case/zirei-68/,アメリカンヴィンテージの雑貨や家具販売、マスク内に空間を作るフレーム「マスクぴたのんBIB-IT.+（ビブイットプラス）」の製造販売,https://recoltz.com/
https://www.aidma-hd.jp/case/zirei-66/,輸出入通関サービス,http://www.koorisyouji.co.jp/
https://www.aidma-hd.jp/case/zirei-65/,最先端ロボット関連製品の開発・製造・販売,https://mu-lab.com/
https://www.aidma-hd.jp/case/zirei-64/,人材派遣,http://k-plus-k.com/enterprise/
https://www.aidma-hd.jp/case/zirei-56/,採用ブランディング （ブランドを構築し、発信・浸透のためのコミュニケーションツールの作成とブランド戦略を立案）,https://www.twelve012.com/
https://www.aidma-hd.jp/case/zirei-55/,ハウスクリーニング、清掃事業,https://plesis.co.jp/
https://www.aidma-hd.jp/case/zirei-49/,工事・外壁修繕,https://www.aspiration2013.com/
https://www.aidma-hd.jp/case/zirei-45/,人材派遣、業務請負、海外人材サービス,https://www.japancreate.net/
https://www.aidma-hd.jp/case/zirei-42/,各種機械装置用の板金部品及び製缶部品の設計、製作、据付機械板金加工、レーザー加工,http://www.kk-mitsuya.com/
https://www.aidma-hd.jp/case/zirei-41/,システム開発,https://www.spec-j.co.jp/
https://www.aidma-hd.jp/case/zirei-34/,各種塗料販売、各種塗装（自動ライン塗装・工場塗装・建築塗装）、各種メンテナンス塗装、カラーコーディネート、建築金物設計・製作,http://intec-nit.co.jp/
https://www.aidma-hd.jp/case/zirei-33/,医療機器製造・輸入販売、医薬品・輸入販売、化粧品製造・輸入販売、理・美容機器製造・輸入販売、コンサルティング業務、古物商,http://www.creatiocorp.jp/
https://www.aidma-hd.jp/case/zirei-29/,清掃資材や機材の輸入･販売事業、清掃事業,https://www.apico-pd.jp/company/
https://www.aidma-hd.jp/case/zirei-28/,工事請負事業・ソリューション事業・Eコマース/卸売事業,https://www.victoryone.co.jp/index.html
https://www.aidma-hd.jp/case/zirei-24/,太陽光発電所システムやメガソーラーの点検・維持管理に必要なメンテナンス機器などを製造・販売。ほかにも太陽電池検査装置・自動車のバックモニターの点検装置・バッテリーテスターなど幅広い機器を取り扱う。,https://www.shin-ei.ne.jp/
https://www.aidma-hd.jp/case/zirei-23/,飲食事業、ヘルスケア事業、メディカルサービス事業,https://kenko-plus.co.jp/
https://www.aidma-hd.jp/case/zirei-22/,"危険物を対象とした倉庫業と運輸業を行う。 危険物倉庫会社として充実した設備を保有しており、危険物自動倉庫の敷地面積は1,119㎡、取扱量は3,500トンにもなる。",
https://www.aidma-hd.jp/case/zirei-13/,国際貿易物流を軸に、国内外のローカル部分まで、輸出入に関するすべてのプロセスに対して適切な解決策を提案する、物流コンサルティング会社だ。,https://kameichi.co.jp/
https://www.aidma-hd.jp/case/zirei-12/,30年にわたり、展示会等のブース設営に関する資材のレンタル、施工業を営んでいる。 取り扱う資材は種類・量ともに国内トップクラスを誇る。,https://www.freshtown.co.jp/
https://www.aidma-hd.jp/case/zirei-11/,Webサイトの企画、オウンドメディアの構築、SNS運用支援、Webマーケティングを得意としているWebエージェンシーである。,https://www.sal.ne.jp/
https://www.aidma-hd.jp/case/zirei/,オフィス古紙回収業とOAサプライ品の提供などを主な事業としており、古紙回収業に関しては70年以上にわたって大阪の同業界を牽引してきた。,https://www.nishikawa.com/
https://www.aidma-hd.jp/case/zirei-2/,株式会社案は、今年で創業46年を迎える編集プロダクション・広告制作会社だ。大手新聞社をはじめとするさまざまなメディアにおいて、長年の信頼と実績を誇っている。,
https://www.aidma-hd.jp/case/zirei-3/,創業50年以上を誇る愛東運輸株式会社は、約3万個ともいわれる自動車部品の輸送を中心に、部品の検査・加工、倉庫業の3本柱で、日本の自動車産業を支えてきた,https://aitoh-unyu.jp/
https://www.aidma-hd.jp/case/zirei-7/,建物の外壁塗装に加え、防水工事や補修、施工、足場の設置などを請け負っている。,https://protect-home.co.jp/
https://www.aidma-hd.jp/case/zirei-6/,中国・アジア圏に向けた輸出販売支援事業や貿易物流代行業、そして海外のプロモーション活動のサポートなどを行っている,https://www.seino-asia.com/
https://www.aidma-hd.jp/case/zirei-5/,顧客から提出されたスペックや図面を基にしたゴム製品を製造しており、製造された部品は、エレベーターやコピー機、FAX機をはじめとしたOA機器などに用いられている。,
https://www.aidma-hd.jp/case/zirei-8/,長期保存（10年・25年）の非常食「アルパインエア」の日本総輸入元、総販売元として1994年から日本でビジネスを展開。官公庁、企業、団体はもとより、個人に至るまでユーザーを拡大している。,http://sio-japan.co.jp/
