企業名,ケーススタディ_URL,タグ
株式会社コスト・デザイン,https://www.aidma-hd.jp/case/zirei-235/,"Sales Platform, 〜10人未満, アポイント率UP, 人材不足, 問い合わせ数UP, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, 製造, 食品"
一般財団法人タヤマ学校,https://www.aidma-hd.jp/case/zirei-234/,"Sales Platform, Keypersons, ベンチャーCXOサミット, 〜10人未満, アポイント率UP, 人材不足, 問い合わせ数UP, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, コンサルティング, 教育・学習"
株式会社八仙,https://www.aidma-hd.jp/case/zirei-233/,"Sales Platform, 〜10人未満, アポイント率UP, 人材不足, 問い合わせ数UP, 営業の仕組み化, 売り上げUP, 業務効率化, 食品"
GOTO image works 株式会社,https://www.aidma-hd.jp/case/zirei-222/,"Sales Platform, 〜10人未満, アポイント率UP, 人材不足, 問い合わせ数UP, 売り上げUP, コンサルティング, 広告・制作"
株式会社いわい,https://www.aidma-hd.jp/case/zirei-221/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 業務効率化, コンサルティング, 小売・卸売, 機械"
株式会社ロジカム,https://www.aidma-hd.jp/case/zirei-220/,"Sales Platform, 〜10人未満, 人材不足, 問い合わせ数UP, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, 輸送・物流"
ケイナンクリーン株式会社,https://www.aidma-hd.jp/case/zirei-219/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, 環境・廃棄物処理"
横浜総合建設株式会社,https://www.aidma-hd.jp/case/zirei-214/,"Sales Platform, 10〜50人, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, 建設・建築"
株式会社自然共生,https://www.aidma-hd.jp/case/zirei-211/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 売り上げUP, 商社, 食品"
センタレスISM株式会社,https://www.aidma-hd.jp/case/zirei-210/,"Sales Platform, 10〜50人, 営業の仕組み化, 営業組織構築, 製造"
株式会社エルーア・システム,https://www.aidma-hd.jp/case/zirei-209/,"Sales Platform, 10〜50人, 問い合わせ数UP, 売り上げUP, 業務効率化, 機械, 通信"
株式会社フジプロテック,https://www.aidma-hd.jp/case/zirei-208/,"Sales Platform, 10〜50人, 営業の仕組み化, 営業組織構築, 製造"
株式会社ワーク＆ケアバランス研究所,https://www.aidma-hd.jp/case/zirei-207/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 営業組織構築, 売り上げUP, 介護離職防止対策"
合同会社なぎさ会,https://www.aidma-hd.jp/case/zirei-203/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 売り上げUP, アパレル・美容, 医療・福祉, 歯科医院経営, 生活関連サービス業"
株式会社prize,https://www.aidma-hd.jp/case/zirei-201/,"Sales Platform, 10〜50人, 人材不足, 問い合わせ数UP, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, 催事スペースの提供・イベントコンサル"
株式会社やの園,https://www.aidma-hd.jp/case/zirei-200/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 営業組織構築, 業務効率化, 環境・廃棄物処理, 環境トイレ販売, 生活関連サービス業"
株式会社漁師鮮度,https://www.aidma-hd.jp/case/zirei-199/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 売り上げUP, 食品"
株式会社ランデックス,https://www.aidma-hd.jp/case/zirei-197/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 売り上げUP, 不動産, 建設・建築"
株式会社エム・イー,https://www.aidma-hd.jp/case/zirei-193/,"Sales Platform, 100〜300人, アポイント率UP, 人材不足, 業務効率化, 医療・福祉, 商社"
九州スタッフ株式会社,https://www.aidma-hd.jp/case/zirei-192/,"Sales Platform, 51～100人, アポイント率UP, 営業の仕組み化, 売り上げUP, 人材"
有限会社カワカミ,https://www.aidma-hd.jp/case/zirei-191/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 売り上げUP, 業務効率化, 食品"
有限会社ワールドフラワーサービス,https://www.aidma-hd.jp/case/zirei-189/,"Sales Platform, 〜10人未満, 営業の仕組み化, 小売・卸売"
株式会社菱田紙器,https://www.aidma-hd.jp/case/zirei-179/,"Sales Platform, 10〜50人, 人材不足, 営業組織構築, 売り上げUP, 製造"
株式会社セルネオテック,https://www.aidma-hd.jp/case/zirei-178/,"Sales Platform, 〜10人未満, 営業の仕組み化, 売り上げUP, 業務効率化, 製造"
株式会社伸和工作所,https://www.aidma-hd.jp/case/zirei-177/,"Sales Platform, 10〜50人, 人材不足, 営業組織構築, 売り上げUP, 製造"
スエナミ工業株式会社,https://www.aidma-hd.jp/case/zirei-176/,"Sales Platform, 10〜50人, 人材不足, 業務効率化, 製造"
株式会社チュウセツシステム,https://www.aidma-hd.jp/case/zirei-165/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 売り上げUP, 通信"
北斗電機工業株式会社,https://www.aidma-hd.jp/case/zirei-164/,"Sales Platform, 10〜50人, アポイント率UP, 営業の仕組み化, 営業組織構築, 製造"
有限会社ブラウンエッグファーム,https://www.aidma-hd.jp/case/zirei-163/,"Sales Platform, 〜10人未満, 売り上げUP, 生活用品・嗜好品, 食品"
有限会社長浦製作所,https://www.aidma-hd.jp/case/zirei-162/,"Sales Platform, 10〜50人, アポイント率UP, 人材不足, 営業組織構築, 業務効率化, 製造"
株式会社足利技研,https://www.aidma-hd.jp/case/zirei-161/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 売り上げUP, 機械"
有限会社旭堂看板店,https://www.aidma-hd.jp/case/zirei-149/,"Sales Platform, 10〜50人, 人材不足, 営業組織構築, 売り上げUP, 企画・製作, 広告"
ミニストップ株式会社,https://www.aidma-hd.jp/case/zirei-146/,"Sales Platform, 300人以上, 人材不足, 小売・卸売"
鈴木電設株式会社,https://www.aidma-hd.jp/case/zirei-145/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 業務効率化, エネルギー, 太陽光, 工事請負"
アクトサービス株式会社,https://www.aidma-hd.jp/case/zirei-144/,"Sales Platform, 〜10人未満, 営業の仕組み化, 売り上げUP, 便利屋業"
株式会社ナショナルトータルビバレッジ,https://www.aidma-hd.jp/case/zirei-143/,"Sales Platform, 10〜50人, 営業の仕組み化, 売り上げUP, 業務効率化, 食品"
ヒッドワークス合同会社,https://www.aidma-hd.jp/case/zirei-142/,"Sales Platform, 〜10人未満, 問い合わせ数UP, 営業の仕組み化, 売り上げUP, 業務効率化, コンサルティング"
株式会社ゼファクト,https://www.aidma-hd.jp/case/zirei-132/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 営業組織構築, IT・Web・マーケティング"
株式会社梅松園,https://www.aidma-hd.jp/case/zirei-131/,"Sales Platform, 10〜50人, 営業の仕組み化, 売り上げUP, 建設・建築"
株式会社テイクオーバル,https://www.aidma-hd.jp/case/zirei-130/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 営業組織構築, 通信"
共栄プラテクス株式会社,https://www.aidma-hd.jp/case/zirei-129/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 製造"
株式会社あおい総合設計,https://www.aidma-hd.jp/case/zirei-128/,"Sales Platform, 10〜50人, 営業の仕組み化, 業務効率化, 建設・建築"
山都自動車株式会社,https://www.aidma-hd.jp/case/zirei-127/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 業務効率化, タクシー会社"
株式会社トーガシ,https://www.aidma-hd.jp/case/zirei-126/,"Sales Platform, 100〜300人, 営業の仕組み化, 営業組織構築, 業務効率化, 展示会施工・運営, 広告"
株式会社九州建設サポート,https://www.aidma-hd.jp/case/zirei-125/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 売り上げUP, コンサルティング"
株式会社ホーユー,https://www.aidma-hd.jp/case/zirei-124/,"Sales Platform, 10〜50人, アポイント率UP, 業務効率化, IT・Web・マーケティング, 自動車"
有限会社共栄打抜,https://www.aidma-hd.jp/case/zirei-122/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 業務効率化, 製造"
有限会社エイブルフーズ,https://www.aidma-hd.jp/case/zirei-121/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, 製造, 食品"
株式会社西日本セフティデンキ,https://www.aidma-hd.jp/case/zirei-120/,"Sales Platform, 10〜50人, 業務効率化, 製造"
株式会社AMG・HOMES,https://www.aidma-hd.jp/case/zirei-119/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 業務効率化, 不動産"
株式会社アンクルインジャパン,https://www.aidma-hd.jp/case/zirei-118/,"Sales Platform, 〜10人未満, 営業の仕組み化, 業務効率化, 人材派遣"
ミャンマー・ユニティ,https://www.aidma-hd.jp/case/zirei-117/,"Sales Platform, 10〜50人, 営業の仕組み化, 営業組織構築, 人材・研修, 人材派遣, 教育・学習"
株式会社ライフ・サポート,https://www.aidma-hd.jp/case/zirei-104/,"Sales Platform, 300人以上, 人材不足, 売り上げUP, 人材派遣"
有限会社創妍,https://www.aidma-hd.jp/case/zirei-103/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 業務効率化, 建設・建築"
ためま株式会社,https://www.aidma-hd.jp/case/zirei-102/,"Sales Platform, 10〜50人, 問い合わせ数UP, 営業の仕組み化, 営業組織構築, 売り上げUP, IT・Web・マーケティング"
株式会社アミューズ24,https://www.aidma-hd.jp/case/zirei-98/,"Sales Platform, 100〜300人, 営業の仕組み化, 業務効率化, 介護事業・障がい者総合支援・環境衛生事業"
株式会社赤原製作所,https://www.aidma-hd.jp/case/zirei-97/,"Sales Platform, 51～100人, 営業の仕組み化, 製造"
有限会社マルイチフードサービス,https://www.aidma-hd.jp/case/zirei-96/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 食品"
北一株式会社,https://www.aidma-hd.jp/case/zirei-90/,"Sales Platform, 10〜50人, 問い合わせ数UP, 営業の仕組み化, 営業組織構築, 製造"
有限会社近江企画,https://www.aidma-hd.jp/case/zirei-89/,"Sales Platform, 〜10人未満, 営業の仕組み化, 業務効率化, CADトレース事業"
ヴィガラクス株式会社,https://www.aidma-hd.jp/case/zirei-88/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 医療用コンテナ・太陽光発電システム搭載マルチユースコンテナ施設販売"
株式会社東京損害生命保険サービスオフィス,https://www.aidma-hd.jp/case/zirei-81/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 売り上げUP, 保険"
株式会社ビモクリ,https://www.aidma-hd.jp/case/zirei-80/,"Sales Platform, 〜10人未満, アポイント率UP, 営業の仕組み化, 業務効率化, IT・Web・マーケティング, 人材・研修, 広告"
有限会社マインズプランニング,https://www.aidma-hd.jp/case/zirei-79/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, 保険"
株式会社スマートペイント,https://www.aidma-hd.jp/case/zirei-76/,"Sales Platform, 〜10人未満, 営業の仕組み化, 営業組織構築, 業務効率化, 建設・建築"
株式会社東北ネット工業,https://www.aidma-hd.jp/case/zirei-75/,"Sales Platform, 10〜50人, 営業の仕組み化, 営業組織構築, 業務効率化, 建設・建築"
株式会社DMA,https://www.aidma-hd.jp/case/zirei-74/,"Sales Platform, 10〜50人, 営業の仕組み化, 営業組織構築, 製造"
株式会社アイゴット,https://www.aidma-hd.jp/case/zirei-70/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, 人材・研修, 人材派遣"
株式会社RECOLTZ,https://www.aidma-hd.jp/case/zirei-68/,"Sales Platform, 〜10人未満, 営業の仕組み化, 業務効率化, 生活雑貨・スポーツ用品販売"
桑折商事倉庫株式会社,https://www.aidma-hd.jp/case/zirei-66/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 業務効率化, 輸送・物流"
株式会社ミューラボ,https://www.aidma-hd.jp/case/zirei-65/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 営業組織構築, 売り上げUP, ロボット関連, 機械, 製造"
株式会社K-plus,https://www.aidma-hd.jp/case/zirei-64/,"Sales Platform, 10〜50人, アポイント率UP, 人材不足, 売り上げUP, 業務効率化, 人材派遣"
株式会社トゥエルブ,https://www.aidma-hd.jp/case/zirei-56/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 営業組織構築, 売り上げUP, IT・Web・マーケティング, ブランディング"
株式会社Plesis,https://www.aidma-hd.jp/case/zirei-55/,"Sales Platform, 10〜50人, 人材不足, 営業組織構築, 清掃"
株式会社アスピレーション,https://www.aidma-hd.jp/case/zirei-49/,"Sales Platform, 10〜50人, アポイント率UP, 人材不足, 売り上げUP, 業務効率化, 工事請負, 建設・建築"
株式会社ジャパンクリエイト,https://www.aidma-hd.jp/case/zirei-45/,"Sales Platform, 300人以上, アポイント率UP, 営業の仕組み化, 人材派遣"
株式会社ミツヤ,https://www.aidma-hd.jp/case/zirei-42/,"Sales Platform, 10〜50人, 人材不足, 営業の仕組み化, 製造"
スペック株式会社,https://www.aidma-hd.jp/case/zirei-41/,"Sales Platform, 10〜50人, 営業の仕組み化, 売り上げUP, IT・Web・マーケティング"
インテック日塗株式会社,https://www.aidma-hd.jp/case/zirei-34/,"Sales Platform, 10〜50人, 営業の仕組み化, 売り上げUP, 建設・建築"
クレシオ株式会社,https://www.aidma-hd.jp/case/zirei-33/,"Sales Platform, 10〜50人, アポイント率UP, 営業の仕組み化, 売り上げUP, アパレル・美容"
株式会社アピコ,https://www.aidma-hd.jp/case/zirei-29/,"Sales Platform, 10〜50人, 営業の仕組み化, 売り上げUP, 清掃, 環境・廃棄物処理"
株式会社VictoryONE,https://www.aidma-hd.jp/case/zirei-28/,"Sales Platform, 10〜50人, 営業の仕組み化, 業務効率化, ソリューション, 小売・卸売, 工事請負"
新栄電子計測器株式会社,https://www.aidma-hd.jp/case/zirei-24/,"Sales Platform, 問い合わせ数UP, 営業の仕組み化, 自動車, 製造"
株式会社健幸プラス,https://www.aidma-hd.jp/case/zirei-23/,"Sales Platform, 10〜50人, アポイント率UP, 営業の仕組み化, 食品"
株式会社ワン・ツー・ストック,https://www.aidma-hd.jp/case/zirei-22/,"Sales Platform, アポイント率UP, 営業の仕組み化, 輸送・物流"
亀一貿易株式会社,https://www.aidma-hd.jp/case/zirei-13/,"Sales Platform, 営業の仕組み化, 売り上げUP, 業務効率化, 貿易, 輸送・物流"
株式会社フレッシュタウン,https://www.aidma-hd.jp/case/zirei-12/,"Sales Platform, アポイント率UP, 営業の仕組み化, 業務効率化, 広告"
株式会社SAL,https://www.aidma-hd.jp/case/zirei-11/,"Sales Platform, 10〜50人, アポイント率UP, 営業の仕組み化, 業務効率化, IT・Web・マーケティング"
株式会社西川,https://www.aidma-hd.jp/case/zirei/,"Sales Platform, 50〜100人, 営業の仕組み化, 環境・廃棄物処理"
株式会社案,https://www.aidma-hd.jp/case/zirei-2/,"Sales Platform, 〜10人未満, 問い合わせ数UP, 広告"
愛東運輸株式会社,https://www.aidma-hd.jp/case/zirei-3/,"Sales Platform, 100〜300人, 売り上げUP, 自動車, 輸送・物流"
株式会社プロテクトホーム,https://www.aidma-hd.jp/case/zirei-7/,"Sales Platform, 〜10人未満, アポイント率UP, 売り上げUP, 建設・建築"
セイノーアジアトレーディング株式会社,https://www.aidma-hd.jp/case/zirei-6/,"Sales Platform, 〜10人未満, アポイント率UP, 売り上げUP, 商社, 貿易"
木島ゴム工業株式会社,https://www.aidma-hd.jp/case/zirei-5/,"Sales Platform, 〜10人未満, アポイント率UP, 売り上げUP, 製造"
株式会社エス･アイ･オー･ジャパン,https://www.aidma-hd.jp/case/zirei-8/,"Sales Platform, 〜10人未満, アポイント率UP, 食品"
